START-OF-LOG: 3.0
CALLSIGN: IZ5JLF
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 215626
NAME: bramanti claudio
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: QARTest 5.1.1
SOAPBOX: MP-1 and KX3....heavy job...i am without voice 73 claudio IZ5JLF
QSO: 21000 PH 2016-03-27 0847 IZ5JLF        59     254 UA4W          59     072
QSO: 21000 PH 2016-03-27 0848 IZ5JLF        59     255 RA9MX         59     048
QSO: 21000 PH 2016-03-27 0851 IZ5JLF        59     256 RZ9U          59    1013
QSO: 21000 PH 2016-03-27 0853 IZ5JLF        59     257 UA9XL         59    1073
QSO: 21000 PH 2016-03-27 0859 IZ5JLF        59     258 RG5A          59     279
QSO: 21000 PH 2016-03-27 1313 IZ5JLF        59     259 PX5E          59    3387
QSO: 21000 PH 2016-03-27 1314 IZ5JLF        59     260 RL9W          59     095
QSO: 21000 PH 2016-03-27 1320 IZ5JLF        59     261 A71SS         59    2136
QSO: 21000 PH 2016-03-27 1324 IZ5JLF        59     262 UB4WAW        59     725
QSO: 21000 PH 2016-03-27 1331 IZ5JLF        59     263 P45A          59    2222
QSO: 21000 PH 2016-03-27 1434 IZ5JLF        59     264 8P5A          59    4886
QSO: 21000 PH 2016-03-27 1436 IZ5JLF        59     265 V43Z          59    2603
QSO: 21000 PH 2016-03-27 1437 IZ5JLF        59     266 PQ5B          59    3085
QSO: 21000 PH 2016-03-27 1439 IZ5JLF        59     267 5E5E          59    2624
QSO: 21000 PH 2016-03-27 1443 IZ5JLF        59     268 PS5A          59    1295
QSO: 21000 PH 2016-03-27 1444 IZ5JLF        59     269 ZV2C          59     740
QSO: 21000 PH 2016-03-27 1446 IZ5JLF        59     270 EB8AH         59    1299
QSO: 21000 PH 2016-03-27 1447 IZ5JLF        59     271 CQ9T          59    1161
QSO: 21000 PH 2016-03-27 1450 IZ5JLF        59     272 8P2K          59     880
