START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: GM2T
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: 
GRID-LOCATOR: IO85SX
CLAIMED-SCORE: 4905120
NAME: Bob Glasgow
OPERATORS: GM4UYZ MM0DXC MM0VPR MM0CCC MM5AHO M0RNR MM0NBW 2M0EGH M0THL GM4GZW
OPERATORS: MM0XAB 2M0ILZ 2M0PGO
CLUB: COCKENZIE AND PORT SETON ARC
CREATED-BY: Win-Test 4.47.0
SOAPBOX: Another fantastic contest enjoyed by all. The weather from start to finish
SOAPBOX: was a howling gale and torrential rain.
SOAPBOX: We also got the chance to introduce two people to contesting, father and
SOAPBOX: son (13 years old). They are both recently licensed and took to operating
SOAPBOX: like ducks to water. Great additions to our contest team
QSO:  1889 PH 2023-10-28 0153 GM2T   59   14 EI9E   59   14 1
QSO:  1889 PH 2023-10-28 0154 GM2T   59   14 M4Y    59   14 1
QSO:  7191 PH 2023-10-28 0154 GM2T   59   14 IQ8SN  59   15 0
QSO:  7185 PH 2023-10-28 0154 GM2T   59   14 II9P   59   15 0
QSO:  7176 PH 2023-10-28 0156 GM2T   59   14 IP3A   59   15 0
QSO:  7171 PH 2023-10-28 0156 GM2T   59   14 LZ9W   59   20 0
QSO:  7166 PH 2023-10-28 0158 GM2T   59   14 9A1P   59   15 0
QSO:  7160 PH 2023-10-28 0159 GM2T   59   14 ED5D   59   14 0
QSO:  7148 PH 2023-10-28 0202 GM2T   59   14 9A3AG  59   15 0
QSO:  7147 PH 2023-10-28 0204 GM2T   59   14 IR1G   59   15 0
QSO:  7044 PH 2023-10-28 0205 GM2T   59   14 9A6KX  59   15 0
QSO:  7056 PH 2023-10-28 0207 GM2T   59   14 EU2F   59   16 0
QSO:  7052 PH 2023-10-28 0208 GM2T   59   14 ZF1A   59   08 0
QSO:  1871 PH 2023-10-28 0209 GM2T   59   14 9A7A   59   15 1
QSO:  7087 PH 2023-10-28 0210 GM2T   59   14 HA4A   59   15 0
