START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: VE3DC
LOCATION: ON
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: 
GRID-LOCATOR: 
CLAIMED-SCORE: 68620
NAME: Contest Club Ontario
OPERATORS: VE3BK VE3QU
CLUB: CONTEST CLUB ONTARIO
CREATED-BY: WriteLog V12.75C
SOAPBOX: Had fun working 40m in the wee hours and 15m in
SOAPBOX: the daytime, Bands were good and Scott had fun
SOAPBOX: on 10m. Thanks to all that worked us 73 Rick VE3BK
QSO: 21231 PH 2023-10-29 2330 VE3DC  59    4 CE4WT  59   12 0
QSO: 21433 PH 2023-10-29 2333 VE3DC  59    4 VE6BBP 59    4 0
QSO: 21287 PH 2023-10-29 2337 VE3DC  59    4 LQ5A   59   13 0
QSO: 21312 PH 2023-10-29 2339 VE3DC  59    4 ZF2B   59    8 0
QSO: 21293 PH 2023-10-29 2340 VE3DC  59    4 KP4PUA 59    8 0
QSO: 21439 PH 2023-10-29 2342 VE3DC  59    4 ZW5B   59   11 0
QSO: 21255 PH 2023-10-29 2343 VE3DC  59    4 PT5J   59   11 0
QSO: 21346 PH 2023-10-29 2345 VE3DC  59    4 VE6AO  59    4 0
QSO: 14193 PH 2023-10-29 2346 VE3DC  59    4 VE5MX  59   04 1
QSO: 14330 PH 2023-10-29 2357 VE3DC  59    4 PJ2T   59   09 1
QSO: 14000 PH 2023-10-29 2359 VE3DC  59    4 KP4AA  59   08 1
END-OF-LOG:
