START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.5.1
CONTEST: CQ-WW-RTTY
LOCATION: DX
CALLSIGN: DF5LR
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 204048
OPERATORS:
CLUB:
NAME: Andreas Lehner
SOAPBOX:
QSO: 	14000 	RY 	2012-09-29 	1209 	DF5LR 	599 	14 	DX 	UX0SX 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	1210 	DF5LR 	599 	14 	DX 	DQ4W 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	1212 	DF5LR 	599 	14 	DX 	R2AT 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	1217 	DF5LR 	599 	14 	DX 	OZ2TF 	599 	14 	DX
QSO: 	14000 	RY 	2012-09-29 	1218 	DF5LR 	599 	14 	DX 	UW5U 	599 	16 	DX
QSO: 	14000 	RY 	2012-09-29 	1220 	DF5LR 	599 	14 	DX 	W1GQ 	599 	05 	NH
QSO: 	14000 	RY 	2012-09-29 	1223 	DF5LR 	599 	14 	DX 	YL9T 	599 	15 	DX
QSO: 	21000 	RY 	2012-09-29 	1228 	DF5LR 	599 	14 	DX 	RA6XV 	599 	16 	DX
QSO: 	21000 	RY 	2012-09-29 	1230 	DF5LR 	599 	14 	DX 	EF8M 	599 	33 	DX
QSO: 	21000 	RY 	2012-09-29 	1234 	DF5LR 	599 	14 	DX 	CR3L 	599 	33 	DX
QSO: 	21000 	RY 	2012-09-29 	1239 	DF5LR 	599 	14 	DX 	W1PL 	599 	05 	MA
QSO: 	21000 	RY 	2012-09-29 	1241 	DF5LR 	599 	14 	DX 	RW0A 	599 	17 	DX
QSO: 	21000 	RY 	2012-09-29 	1246 	DF5LR 	599 	14 	DX 	EF7R 	599 	14 	DX
QSO: 	21000 	RY 	2012-09-29 	1249 	DF5LR 	599 	14 	DX 	K4GMH 	599 	05 	VA
QSO: 	21000 	RY 	2012-09-29 	1250 	DF5LR 	599 	14 	DX 	UW4I 	599 	16 	DX
QSO: 	21000 	RY 	2012-09-29 	1256 	DF5LR 	599 	14 	DX 	K1SFA 	599 	05 	MA
QSO: 	21000 	RY 	2012-09-29 	1308 	DF5LR 	599 	14 	DX 	RA3TT 	599 	16 	DX
QSO: 	21000 	RY 	2012-09-29 	1309 	DF5LR 	599 	14 	DX 	UR4MG 	599 	16 	DX
QSO: 	21000 	RY 	2012-09-29 	1317 	DF5LR 	599 	14 	DX 	AG4W 	599 	04 	AL
QSO: 	21000 	RY 	2012-09-29 	1317 	DF5LR 	599 	14 	DX 	R9DX 	599 	17 	DX
QSO: 	21000 	RY 	2012-09-29 	1322 	DF5LR 	599 	14 	DX 	K1FWE 	599 	05 	NH
QSO: 	21000 	RY 	2012-09-29 	1326 	DF5LR 	599 	14 	DX 	UU7J 	599 	16 	DX
QSO: 	21000 	RY 	2012-09-29 	1330 	DF5LR 	599 	14 	DX 	K0KX 	599 	04 	MN
QSO: 	21000 	RY 	2012-09-29 	1331 	DF5LR 	599 	14 	DX 	RA3ICK 	599 	16 	DX
QSO: 	21000 	RY 	2012-09-29 	1334 	DF5LR 	599 	14 	DX 	K3OQ 	599 	05 	MD
QSO: 	21000 	RY 	2012-09-29 	1335 	DF5LR 	599 	14 	DX 	RN6AI 	599 	16 	DX
QSO: 	21000 	RY 	2012-09-29 	1337 	DF5LR 	599 	14 	DX 	EA7IQM 	599 	14 	DX
QSO: 	21000 	RY 	2012-09-29 	1341 	DF5LR 	599 	14 	DX 	HZ1PS 	599 	21 	DX
QSO: 	21000 	RY 	2012-09-29 	1345 	DF5LR 	599 	14 	DX 	ZC4LI 	599 	20 	DX
QSO: 	21000 	RY 	2012-09-29 	1408 	DF5LR 	599 	14 	DX 	UA5F 	599 	16 	DX
QSO: 	28000 	RY 	2012-09-29 	1446 	DF5LR 	599 	14 	DX 	VE2FXL 	599 	05 	DX
QSO: 	28000 	RY 	2012-09-29 	1451 	DF5LR 	599 	14 	DX 	K5ZD 	599 	05 	MA
QSO: 	28000 	RY 	2012-09-29 	1453 	DF5LR 	599 	14 	DX 	N2KI 	599 	05 	NY
QSO: 	28000 	RY 	2012-09-29 	1456 	DF5LR 	599 	14 	DX 	NR4M 	599 	05 	VA
QSO: 	28000 	RY 	2012-09-29 	1502 	DF5LR 	599 	14 	DX 	W1UE 	599 	05 	MA
QSO: 	28000 	RY 	2012-09-29 	1508 	DF5LR 	599 	14 	DX 	VA2AM 	599 	05 	DX
QSO: 	28000 	RY 	2012-09-29 	1510 	DF5LR 	599 	14 	DX 	WK7S 	599 	03 	AZ
QSO: 	28000 	RY 	2012-09-29 	1514 	DF5LR 	599 	14 	DX 	KS1J 	599 	05 	RI
QSO: 	28000 	RY 	2012-09-29 	1517 	DF5LR 	599 	14 	DX 	W0LSD 	599 	04 	CO
QSO: 	28000 	RY 	2012-09-29 	1518 	DF5LR 	599 	14 	DX 	AA3B 	599 	05 	PA
QSO: 	28000 	RY 	2012-09-29 	1520 	DF5LR 	599 	14 	DX 	ZV2K 	599 	11 	DX
QSO: 	28000 	RY 	2012-09-29 	1524 	DF5LR 	599 	14 	DX 	KI1G 	599 	05 	RI
QSO: 	28000 	RY 	2012-09-29 	1525 	DF5LR 	599 	14 	DX 	4Z5CP 	599 	20 	DX
QSO: 	28000 	RY 	2012-09-29 	1529 	DF5LR 	599 	14 	DX 	K2NV 	599 	05 	NY
QSO: 	28000 	RY 	2012-09-29 	1531 	DF5LR 	599 	14 	DX 	N8RU 	599 	04 	MI
QSO: 	28000 	RY 	2012-09-29 	1533 	DF5LR 	599 	14 	DX 	UA4CC 	599 	16 	DX
QSO: 	28000 	RY 	2012-09-29 	1534 	DF5LR 	599 	14 	DX 	W9OA/9 	599 	04 	WI
QSO: 	28000 	RY 	2012-09-29 	1540 	DF5LR 	599 	14 	DX 	W4PK 	599 	05 	VA
QSO: 	28000 	RY 	2012-09-29 	1543 	DF5LR 	599 	14 	DX 	A61QQ 	599 	21 	DX
QSO: 	28000 	RY 	2012-09-29 	1547 	DF5LR 	599 	14 	DX 	P40G 	599 	09 	DX
QSO: 	28000 	RY 	2012-09-29 	1548 	DF5LR 	599 	14 	DX 	K1SFA 	599 	05 	MA
QSO: 	28000 	RY 	2012-09-29 	1552 	DF5LR 	599 	14 	DX 	W1PL 	599 	05 	MA
QSO: 	28000 	RY 	2012-09-29 	1557 	DF5LR 	599 	14 	DX 	N3BM 	599 	05 	VA
QSO: 	28000 	RY 	2012-09-29 	1601 	DF5LR 	599 	14 	DX 	KA4RRU 	599 	05 	OH
QSO: 	28000 	RY 	2012-09-29 	1603 	DF5LR 	599 	14 	DX 	N4WW 	599 	05 	FL
QSO: 	28000 	RY 	2012-09-29 	1608 	DF5LR 	599 	14 	DX 	PJ2/VE7S 	599 	09 	DX
QSO: 	28000 	RY 	2012-09-29 	1615 	DF5LR 	599 	14 	DX 	AC8Y 	599 	05 	VA
QSO: 	28000 	RY 	2012-09-29 	1618 	DF5LR 	599 	14 	DX 	K3WI 	599 	05 	VA
QSO: 	28000 	RY 	2012-09-29 	1619 	DF5LR 	599 	14 	DX 	N7US 	599 	04 	IL
QSO: 	28000 	RY 	2012-09-29 	1622 	DF5LR 	599 	14 	DX 	N2ZN 	599 	05 	NY
QSO: 	28000 	RY 	2012-09-29 	1626 	DF5LR 	599 	14 	DX 	CT3FQ 	599 	33 	DX
QSO: 	28000 	RY 	2012-09-29 	1627 	DF5LR 	599 	14 	DX 	AY8A 	599 	13 	DX
QSO: 	28000 	RY 	2012-09-29 	1629 	DF5LR 	599 	14 	DX 	K6SXA 	599 	04 	TX
QSO: 	28000 	RY 	2012-09-29 	1630 	DF5LR 	599 	14 	DX 	K3OQ 	599 	05 	MD
QSO: 	28000 	RY 	2012-09-29 	1633 	DF5LR 	599 	14 	DX 	ZZ2T 	599 	11 	DX
QSO: 	28000 	RY 	2012-09-29 	1635 	DF5LR 	599 	14 	DX 	N5RZ 	599 	04 	TX
QSO: 	28000 	RY 	2012-09-29 	1636 	DF5LR 	599 	14 	DX 	K0IR 	599 	04 	MN
QSO: 	28000 	RY 	2012-09-29 	1643 	DF5LR 	599 	14 	DX 	DL8RDL 	599 	14 	DX
QSO: 	28000 	RY 	2012-09-29 	1649 	DF5LR 	599 	14 	DX 	WA5ZUP 	599 	04 	NM
QSO: 	28000 	RY 	2012-09-29 	1652 	DF5LR 	599 	14 	DX 	WA7LNW 	599 	03 	UT
QSO: 	28000 	RY 	2012-09-29 	1656 	DF5LR 	599 	14 	DX 	K6TA 	599 	03 	CA
QSO: 	28000 	RY 	2012-09-29 	1658 	DF5LR 	599 	14 	DX 	CT3DZ 	599 	33 	DX
QSO: 	28000 	RY 	2012-09-29 	1701 	DF5LR 	599 	14 	DX 	N0NI 	599 	04 	IA
QSO: 	28000 	RY 	2012-09-29 	1703 	DF5LR 	599 	14 	DX 	K4GMH 	599 	05 	VA
QSO: 	28000 	RY 	2012-09-29 	1711 	DF5LR 	599 	14 	DX 	N2PA 	599 	05 	NY
QSO: 	28000 	RY 	2012-09-29 	1716 	DF5LR 	599 	14 	DX 	N2LT 	599 	05 	NY
QSO: 	28000 	RY 	2012-09-29 	1718 	DF5LR 	599 	14 	DX 	K4FJ 	599 	05 	VA
QSO: 	28000 	RY 	2012-09-29 	1719 	DF5LR 	599 	14 	DX 	K7RL 	599 	03 	WA
QSO: 	28000 	RY 	2012-09-29 	1725 	DF5LR 	599 	14 	DX 	PY2NY 	599 	11 	DX
QSO: 	28000 	RY 	2012-09-29 	1727 	DF5LR 	599 	14 	DX 	K3WW 	599 	05 	PA
QSO: 	28000 	RY 	2012-09-29 	1736 	DF5LR 	599 	14 	DX 	KI2P 	599 	05 	NJ
QSO: 	28000 	RY 	2012-09-29 	1739 	DF5LR 	599 	14 	DX 	NC4CS 	599 	05 	NC
QSO: 	28000 	RY 	2012-09-29 	1749 	DF5LR 	599 	14 	DX 	WY3P 	599 	05 	VA
QSO: 	28000 	RY 	2012-09-29 	1752 	DF5LR 	599 	14 	DX 	VA2UP 	599 	05 	DX
QSO: 	28000 	RY 	2012-09-29 	1756 	DF5LR 	599 	14 	DX 	PX2V 	599 	11 	DX
QSO: 	7000 	RY 	2012-09-30 	0458 	DF5LR 	599 	14 	DX 	K1FWE 	599 	05 	NH
QSO: 	7000 	RY 	2012-09-30 	0500 	DF5LR 	599 	14 	DX 	EI7KD 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-30 	0502 	DF5LR 	599 	14 	DX 	NR4M 	599 	05 	VA
QSO: 	7000 	RY 	2012-09-30 	0505 	DF5LR 	599 	14 	DX 	SV1JG 	599 	20 	DX
QSO: 	7000 	RY 	2012-09-30 	0507 	DF5LR 	599 	14 	DX 	CT1ILT 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-30 	0509 	DF5LR 	599 	14 	DX 	OM5ZW 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-30 	0511 	DF5LR 	599 	14 	DX 	EA8URL 	599 	33 	DX
QSO: 	7000 	RY 	2012-09-30 	0513 	DF5LR 	599 	14 	DX 	9A207T 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-30 	0515 	DF5LR 	599 	14 	DX 	K1SFA 	599 	05 	MA
QSO: 	7000 	RY 	2012-09-30 	0517 	DF5LR 	599 	14 	DX 	OM100IG 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-30 	0517 	DF5LR 	599 	14 	DX 	CT3EN 	599 	33 	DX
QSO: 	7000 	RY 	2012-09-30 	0518 	DF5LR 	599 	14 	DX 	OP7B 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-30 	0519 	DF5LR 	599 	14 	DX 	EE7T 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-30 	0520 	DF5LR 	599 	14 	DX 	UT5EPP 	599 	16 	DX
QSO: 	7000 	RY 	2012-09-30 	0522 	DF5LR 	599 	14 	DX 	F5JY 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-30 	0522 	DF5LR 	599 	14 	DX 	F4ERS 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-30 	0524 	DF5LR 	599 	14 	DX 	OZ5NJ 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-30 	0524 	DF5LR 	599 	14 	DX 	DK4WW 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-30 	0525 	DF5LR 	599 	14 	DX 	SV1JGX 	599 	20 	DX
QSO: 	7000 	RY 	2012-09-30 	0526 	DF5LR 	599 	14 	DX 	ES9C 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-30 	0527 	DF5LR 	599 	14 	DX 	UR4CU 	599 	16 	DX
QSO: 	7000 	RY 	2012-09-30 	0528 	DF5LR 	599 	14 	DX 	PA7LV 	599 	14 	DX
QSO: 	7000 	RY 	2012-09-30 	0531 	DF5LR 	599 	14 	DX 	AA3B 	599 	05 	PA
QSO: 	7000 	RY 	2012-09-30 	0533 	DF5LR 	599 	14 	DX 	PY2NZ 	599 	11 	DX
QSO: 	7000 	RY 	2012-09-30 	0534 	DF5LR 	599 	14 	DX 	S50W 	599 	15 	DX
QSO: 	7000 	RY 	2012-09-30 	0535 	DF5LR 	599 	14 	DX 	OH2LNH 	599 	15 	DX
