START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RDA
CALLSIGN: UA3RBR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UA3RBR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RDA RDAContest/2020.
QSO:  7000 CW 2020-08-15 1626 UA3RBR        599 TB02 YT1A          599 0054
QSO:  7017 CW 2020-08-15 1627 UA3RBR        599 TB02 YO9FYP        599 0069
QSO:  7016 CW 2020-08-15 1628 UA3RBR        599 TB02 LZ1SA         599 0444
QSO:  7000 CW 2020-08-15 1629 UA3RBR        599 TB02 UN7LDR        599 0108
QSO:  7021 CW 2020-08-15 1630 UA3RBR        599 TB02 EW/R3XA       599 0346
QSO:  7010 CW 2020-08-15 1644 UA3RBR        599 TB02 DL6KVA        599 0513
QSO:  7014 CW 2020-08-15 1648 UA3RBR        599 TB02 OK8AU         599 0312
QSO:  7018 CW 2020-08-15 1705 UA3RBR        599 TB02 YQ6A          599 0469
QSO:  7014 CW 2020-08-15 1708 UA3RBR        599 TB02 OH2YL         599 0094
QSO:  7006 CW 2020-08-15 1710 UA3RBR        599 TB02 4U1A          599 0615
QSO:  7006 CW 2020-08-15 1710 UA3RBR        599 TB02 DL2SAX        599 0156
QSO:  7007 CW 2020-08-15 1710 UA3RBR        599 TB02 UP0L          599 0363
QSO:  7014 CW 2020-08-15 1712 UA3RBR        599 TB02 UN7CN         599 0102
QSO:  7017 CW 2020-08-15 1713 UA3RBR        599 TB02 UR6EA         599 0077
QSO:  7009 CW 2020-08-15 1720 UA3RBR        599 TB02 OP4K          599 0487
QSO:  7006 CW 2020-08-15 1736 UA3RBR        599 TB02 LY6A          599 0292
QSO:  7010 CW 2020-08-15 1736 UA3RBR        599 TB02 4O4T          599 0064
QSO:  7008 CW 2020-08-15 1739 UA3RBR        599 TB02 UT7CR         599 0796
QSO:  7028 CW 2020-08-15 1750 UA3RBR        599 TB02 EU5C          599 0340
QSO:  7006 CW 2020-08-15 1755 UA3RBR        599 TB02 YU1RA         599 0021
QSO:  7000 CW 2020-08-15 1806 UA3RBR        599 TB02 EW2ES         599 0136
QSO:  7012 CW 2020-08-15 1808 UA3RBR        599 TB02 HA7PO         599 0194
QSO:  7012 CW 2020-08-15 1808 UA3RBR        599 TB02 LZ9W          599 0751
QSO:  7012 CW 2020-08-15 1809 UA3RBR        599 TB02 SP3GTS        599 0104
QSO:  7012 CW 2020-08-15 1809 UA3RBR        599 TB02 SP7CF         599 0200
QSO:  7000 CW 2020-08-15 1810 UA3RBR        599 TB02 DL2OM         599 0306
QSO:  7012 CW 2020-08-15 1810 UA3RBR        599 TB02 D1CTT         599 0293
QSO:  7012 CW 2020-08-15 1811 UA3RBR        599 TB02 UT4LW         599 0691
QSO:  7012 CW 2020-08-15 1812 UA3RBR        599 TB02 UT2UB         599 0268
QSO:  7012 CW 2020-08-15 1813 UA3RBR        599 TB02 DL3KWF        599 0038
QSO:  7012 CW 2020-08-15 1813 UA3RBR        599 TB02 UR5WX         599 0111
QSO:  7012 CW 2020-08-15 1814 UA3RBR        599 TB02 HG1G          599 0621
QSO:  7012 CW 2020-08-15 1814 UA3RBR        599 TB02 SP2R          599 0292
QSO:  7000 CW 2020-08-15 1815 UA3RBR        599 TB02 OG5G          599 0104
QSO:  7000 CW 2020-08-15 1816 UA3RBR        599 TB02 LZ1DQ         599 0170
QSO:  7000 CW 2020-08-15 1817 UA3RBR        599 TB02 YO7ARZ        599 0061
