START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: LY7A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 12113640
OPERATORS: LYR346 LY1DI LY1FK LY1FU LY1SR LY2DX LY2J LY2K LY2KJ LY2LL LY3BB
OPERATORS: LY3DA LY3HD LY3RQ LY3UT LY4G LY4Z LY9A
CLUB: Kaunas University of Technology Radio Club
NAME: KTU RC HQ
SOAPBOX:
QSO:  3500 PH 2014-10-25 0028 LY7A          59  15     F4DPW         59  14     1
QSO:  1800 PH 2014-10-25 0028 LY7A          59  15     SP5DXU        59  15     1
QSO:  7000 PH 2014-10-25 0028 LY7A          59  15     C37NL         59  14     1
QSO:  3500 PH 2014-10-25 0028 LY7A          59  15     DL6DCD        59  14     1
QSO:  3500 PH 2014-10-25 0028 LY7A          59  15     RA3NC         59  16     1
QSO:  7000 PH 2014-10-25 0028 LY7A          59  15     ED1R          59  14     1
QSO:  3500 PH 2014-10-25 0029 LY7A          59  15     F8KGS         59  14     1
QSO:  3500 PH 2014-10-25 0029 LY7A          59  15     IR4M          59  15     1
QSO:  3500 PH 2014-10-25 0029 LY7A          59  15     R7MM          59  16     1
QSO:  3500 PH 2014-10-25 0029 LY7A          59  15     OM0A          59  15     1
QSO:  3500 PH 2014-10-25 0029 LY7A          59  15     DD7P          59  14     1
QSO:  7000 PH 2014-10-25 0029 LY7A          59  15     LY4A          59  15     1
QSO:  7000 PH 2014-10-25 0029 LY7A          59  15     SZ3P          59  20     1
QSO:  1800 PH 2014-10-25 0029 LY7A          59  15     DM1CM         59  14     1
QSO:  3500 PH 2014-10-25 0029 LY7A          59  15     IO5O          59  15     1
QSO: 14174 PH 2014-10-25 0030 LY7A          59  15     GM7A          59  14     1
QSO:  3500 PH 2014-10-25 0030 LY7A          59  15     IK2UEC        59  15     1
QSO:  1800 PH 2014-10-25 0030 LY7A          59  15     DM3DVL        59  14     1
QSO:  1800 PH 2014-10-25 0030 LY7A          59  15     9A3B          59  15     1
QSO:  3500 PH 2014-10-25 0030 LY7A          59  15     UA4NC         59  16     1
QSO:  7000 PH 2014-10-25 0030 LY7A          59  15     IZ8EPX        59  15     1
QSO:  1800 PH 2014-10-25 0030 LY7A          59  15     4O3A          59  15     1
QSO:  3500 PH 2014-10-25 0030 LY7A          59  15     DM4X          59  14     1
QSO: 14000 PH 2014-10-25 0030 LY7A          59  15     G6BDV/P       59  14     1
QSO:  7000 PH 2014-10-25 0031 LY7A          59  15     OT5X          59  14     1
QSO:  3500 PH 2014-10-25 0031 LY7A          59  15     IK7NXU        59  15     1
QSO:  3500 PH 2014-10-25 0031 LY7A          59  15     OH0Z          59  15     1
QSO:  1800 PH 2014-10-25 0031 LY7A          59  15     SP3GTS        59  15     1
QSO:  3500 PH 2014-10-25 0031 LY7A          59  15     ED5O          59  14     1
