START-OF-LOG: 3.0
CALLSIGN: OP6AT
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 72660
NAME: Patrick Elyn
LOCATION: DX
OPERATORS: ON6AT
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: FT-950 40w - ant R8 vert + W8010 Dip
QSO:  3524 CW 2017-11-26 2232 OP6AT         599 14     YR8D          599 20
QSO:  3526 CW 2017-11-26 2233 OP6AT         599 14     IZ1GAR        599 15
QSO:  3526 CW 2017-11-26 2234 OP6AT         599 14     SP3UR         599 15
QSO:  3527 CW 2017-11-26 2236 OP6AT         599 14     MM2N          599 14
QSO:  3528 CW 2017-11-26 2238 OP6AT         599 14     UN4L          599 17
QSO:  3528 CW 2017-11-26 2239 OP6AT         599 14     LY5E          599 15
QSO:  3529 CW 2017-11-26 2240 OP6AT         599 14     DF0HQ         599 14
QSO:  3530 CW 2017-11-26 2241 OP6AT         599 14     IB9T          599 15
QSO:  3532 CW 2017-11-26 2245 OP6AT         599 14     EI3KE         599 14
QSO:  3533 CW 2017-11-26 2246 OP6AT         599 14     GM4Z          599 14
QSO:  3533 CW 2017-11-26 2248 OP6AT         599 14     DK3YD         599 14
QSO:  3534 CW 2017-11-26 2248 OP6AT         599 14     9A1A          599 15
QSO:  3534 CW 2017-11-26 2250 OP6AT         599 14     EU2EU         599 16
QSO:  3534 CW 2017-11-26 2251 OP6AT         599 14     OK5E          599 15
QSO:  3535 CW 2017-11-26 2252 OP6AT         599 14     SO4M          599 15
QSO:  3536 CW 2017-11-26 2253 OP6AT         599 14     EW6W          599 16
QSO:  3537 CW 2017-11-26 2314 OP6AT         599 14     HB9ARF        599 14
QSO:  3537 CW 2017-11-26 2315 OP6AT         599 14     OL3A          599 15
QSO:  3538 CW 2017-11-26 2316 OP6AT         599 14     HG7T          599 15
QSO:  3541 CW 2017-11-26 2317 OP6AT         599 14     GW9J          599 14
QSO:  3543 CW 2017-11-26 2319 OP6AT         599 14     DL5JAN        599 14
QSO:  3544 CW 2017-11-26 2320 OP6AT         599 14     OK1AXB        599 15
QSO:  3545 CW 2017-11-26 2322 OP6AT         599 14     CN2R          599 33
QSO:  3546 CW 2017-11-26 2323 OP6AT         599 14     SP4JCQ        599 15
QSO:  3546 CW 2017-11-26 2325 OP6AT         599 14     IK1JJM        599 15
QSO:  3549 CW 2017-11-26 2326 OP6AT         599 14     5P3WW         599 14
QSO:  7000 CW 2017-11-26 2328 OP6AT         599 14     YU7U          599 15
QSO:  7001 CW 2017-11-26 2332 OP6AT         599 14     PJ4I          599 09
QSO:  7002 CW 2017-11-26 2333 OP6AT         599 14     LZ4T          599 20
QSO:  7002 CW 2017-11-26 2335 OP6AT         599 14     K3LR          599 05
QSO:  7003 CW 2017-11-26 2336 OP6AT         599 14     W9RE          599 04
QSO:  7003 CW 2017-11-26 2337 OP6AT         599 14     N3RD          599 05
QSO:  7006 CW 2017-11-26 2339 OP6AT         599 14     IR1Y          599 15
QSO:  7007 CW 2017-11-26 2341 OP6AT         599 14     R9PA          599 18
QSO:  7007 CW 2017-11-26 2342 OP6AT         599 14     9A1P          599 15
QSO:  7010 CW 2017-11-26 2344 OP6AT         599 14     IO2X          599 15
QSO:  7011 CW 2017-11-26 2344 OP6AT         599 14     WW4LL         599 05
QSO:  7013 CW 2017-11-26 2347 OP6AT         599 14     9A7A          599 15
QSO:  7015 CW 2017-11-26 2348 OP6AT         599 14     HA2NA         599 15
QSO:  7016 CW 2017-11-26 2350 OP6AT         599 14     IU4APB        599 15
QSO:  7016 CW 2017-11-26 2355 OP6AT         599 14     AA9A          599 04
END-OF-LOG:
