START-OF-LOG: 3.0
CALLSIGN: UN7PGA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: OLEG
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: UR5EQF log v.3.31-60
SOAPBOX: FT 950, Delta  20    Inv  40
QSO: 21018 CW 2017-11-26 0620 UN7PGA        599 17     JE2QIZ        599 25
QSO: 21018 CW 2017-11-26 0621 UN7PGA        599 17     7K1CPT        599 25
QSO: 21018 CW 2017-11-26 0622 UN7PGA        599 17     JF3PRS        599 25
QSO: 21018 CW 2017-11-26 0622 UN7PGA        599 17     EW2O          599 16
QSO: 21018 CW 2017-11-26 0623 UN7PGA        599 17     JR3EOI        599 25
QSO: 21018 CW 2017-11-26 0623 UN7PGA        599 17     JA3RAZ        599 25
QSO: 21018 CW 2017-11-26 0624 UN7PGA        599 17     UT1QQ         599 16
QSO: 21018 CW 2017-11-26 0624 UN7PGA        599 17     JA7ZFN        599 25
QSO: 21018 CW 2017-11-26 0625 UN7PGA        599 17     JR1ZTI        599 25
QSO: 21018 CW 2017-11-26 0625 UN7PGA        599 17     UT8IV         599 16
QSO: 21018 CW 2017-11-26 0626 UN7PGA        599 17     JA1XEC        599 25
QSO: 21018 CW 2017-11-26 0628 UN7PGA        599 17     R6DHO         599 16
QSO: 21018 CW 2017-11-26 0628 UN7PGA        599 17     R6KX          599 16
QSO: 21018 CW 2017-11-26 0629 UN7PGA        599 17     RA6AR         599 16
QSO: 21018 CW 2017-11-26 0630 UN7PGA        599 17     UY5QJ         599 16
QSO: 21018 CW 2017-11-26 0630 UN7PGA        599 17     JA0UMV        599 25
QSO: 21018 CW 2017-11-26 0631 UN7PGA        599 17     JP1IXV        599 25
QSO: 21018 CW 2017-11-26 0632 UN7PGA        599 17     UA4M          599 16
QSO: 21018 CW 2017-11-26 0633 UN7PGA        599 17     JH1VMI        599 25
QSO: 21018 CW 2017-11-26 0633 UN7PGA        599 17     JF3NKA        599 25
