START-OF-LOG: 3.0
CALLSIGN: SM7ZDI
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 80M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Vic Pleshkevich
LOCATION: DX
OPERATORS: SM7ZDI
CLUB:
CERTIFICATE: YES
CREATED-BY: WINLOG32 v7.3.11
SOAPBOX: Casual entry as time permitted - mostly running with some S&P
QSO:  3500 CW 2017-11-26 0607 SM7ZDI        599 14     YU5W          599 15     0
QSO:  3500 CW 2017-11-26 0608 SM7ZDI        599 14     SP5XO         599 15     0
QSO:  3500 CW 2017-11-26 0608 SM7ZDI        599 14     DL4ZBY        599 14     0
QSO:  3500 CW 2017-11-26 0609 SM7ZDI        599 14     TK0C          599 15     0
QSO:  3500 CW 2017-11-26 0611 SM7ZDI        599 14     DF6FQ         599 14     0
QSO:  3500 CW 2017-11-26 0611 SM7ZDI        599 14     SP3BES        599 15     0
QSO:  3500 CW 2017-11-26 0612 SM7ZDI        599 14     RW1C          599 16     0
QSO:  3500 CW 2017-11-26 0613 SM7ZDI        599 14     DK7ZT         599 14     0
QSO:  3500 CW 2017-11-26 0613 SM7ZDI        599 14     DL6NDW        599 14     0
QSO:  3500 CW 2017-11-26 0616 SM7ZDI        599 14     PJ4Y          599 09     0
QSO:  3500 CW 2017-11-26 0617 SM7ZDI        599 14     DL4CF         599 14     0
QSO:  3500 CW 2017-11-26 0620 SM7ZDI        599 14     OK1JVS        599 15     0
QSO:  3500 CW 2017-11-26 0621 SM7ZDI        599 14     S50XX         599 15     0
QSO:  3500 CW 2017-11-26 0622 SM7ZDI        599 14     W3BGN         599 05     0
QSO:  3500 CW 2017-11-26 0622 SM7ZDI        599 14     LY4A          599 15     0
QSO:  3500 CW 2017-11-26 0623 SM7ZDI        599 14     DH0JAE        599 14     0
QSO:  3500 CW 2017-11-26 0624 SM7ZDI        599 14     LY2MC         599 15     0
QSO:  3500 CW 2017-11-26 0625 SM7ZDI        599 14     PA3BUD        599 14     0
QSO:  3500 CW 2017-11-26 0625 SM7ZDI        599 14     OK2BJK        599 15     0
QSO:  3500 CW 2017-11-26 0626 SM7ZDI        599 14     NR4M          599 05     0
QSO:  3500 CW 2017-11-26 0626 SM7ZDI        599 14     EU8U          599 16     0
QSO:  3500 CW 2017-11-26 0627 SM7ZDI        599 14     HA5X          599 15     0
QSO:  3500 CW 2017-11-26 0627 SM7ZDI        599 14     SQ3WW         599 15     0
QSO:  3500 CW 2017-11-26 0628 SM7ZDI        599 14     ON5WL         599 14     0
QSO:  3500 CW 2017-11-26 0628 SM7ZDI        599 14     CR3W          599 33     0
QSO:  3500 CW 2017-11-26 0629 SM7ZDI        599 14     OM7SR         599 15     0
QSO:  3500 CW 2017-11-26 0629 SM7ZDI        599 14     DL4WA         599 14     0
QSO:  3500 CW 2017-11-26 0630 SM7ZDI        599 14     HA6PJ         599 15     0
QSO:  3500 CW 2017-11-26 0630 SM7ZDI        599 14     DK1KC         599 14     0
QSO:  3500 CW 2017-11-26 0632 SM7ZDI        599 14     GW4MVA        599 14     0
QSO:  3500 CW 2017-11-26 0633 SM7ZDI        599 14     LY7M          599 15     0
QSO:  3500 CW 2017-11-26 0633 SM7ZDI        599 14     IZ4DLR        599 15     0
QSO:  3500 CW 2017-11-26 0634 SM7ZDI        599 14     ON4AMP        599 14     0
QSO:  3500 CW 2017-11-26 0634 SM7ZDI        599 14     W3NO          599 05     0
QSO:  3500 CW 2017-11-26 0635 SM7ZDI        599 14     LY3CY         599 15     0
QSO:  3500 CW 2017-11-26 0637 SM7ZDI        599 14     R1CAA         599 16     0
QSO:  3500 CW 2017-11-26 0637 SM7ZDI        599 14     OH3RF         599 15     0
QSO:  3500 CW 2017-11-26 0638 SM7ZDI        599 14     PA3GVI        599 14     0
QSO:  3500 CW 2017-11-26 0638 SM7ZDI        599 14     LZ9W          599 20     0
QSO:  3500 CW 2017-11-26 0640 SM7ZDI        599 14     OH6LW         599 15     0
