START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DL7CX
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 580720
NAME: Olaf Brunner
CLUB: Bavarian Contest Club
CERTIFICATE: NO
CREATED-BY: Win-Test 4.20.0
SOAPBOX: During a GMA (global mountain activity) I used dl7cx/p with qrp.
SOAPBOX: I hope that is not too be confused
SOAPBOX: because the maintime I was in the contest with dl7cx only.
SOAPBOX: On the end I made the 2 logs together. 73 Olaf
QSO:  3630 PH 2018-10-28 0519 DL7CX         59  14     F6KFV         59  14     0
QSO:  3630 PH 2018-10-28 0520 DL7CX         59  14     SQ2WHH        59  15     0
QSO:  3630 PH 2018-10-28 0520 DL7CX         59  14     SN100L        59  15     0
QSO:  3630 PH 2018-10-28 0522 DL7CX         59  14     PA8KW         59  14     0
QSO:  3630 PH 2018-10-28 0523 DL7CX         59  14     SO100ZHP      59  15     0
QSO:  3630 PH 2018-10-28 0523 DL7CX         59  14     YL2NK         59  15     0
QSO:  3630 PH 2018-10-28 0524 DL7CX         59  14     4O3RAB        59  15     0
QSO:  3630 PH 2018-10-28 0524 DL7CX         59  14     IZ5FSO        59  15     0
QSO:  3630 PH 2018-10-28 0524 DL7CX         59  14     I0LYO         59  15     0
QSO:  3630 PH 2018-10-28 0525 DL7CX         59  14     OM7RU         59  15     0
QSO:  3630 PH 2018-10-28 0525 DL7CX         59  14     S57NAW        59  15     0
QSO:  3630 PH 2018-10-28 0525 DL7CX         59  14     F1ICS         59  14     0
