START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: K8AJS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 94656
NAME: John Bastin
LOCATION: OH
OPERATORS: K8AJS
CLUB: Mad River Radio Club
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: QSL with W5MMW 2019-09-28 1909Z I know the zone is incorrect, but
SOAPBOX: that is what he sent, so that is what I logged.
QSO: 14114 RY 2019-09-28 1348 K8AJS         599 04 OH  TM3Z          599 14 DX
QSO: 14114 RY 2019-09-28 1350 K8AJS         599 04 OH  DJ3NG         599 14 DX
QSO: 14114 RY 2019-09-28 1351 K8AJS         599 04 OH  DF9GR         599 14 DX
QSO: 14114 RY 2019-09-28 1352 K8AJS         599 04 OH  OK4GP         599 15 DX
QSO: 14114 RY 2019-09-28 1354 K8AJS         599 04 OH  IK2SAR        599 15 DX
QSO: 14114 RY 2019-09-28 1355 K8AJS         599 04 OH  WA3ZSC        599 05 PA
QSO: 14114 RY 2019-09-28 1356 K8AJS         599 04 OH  W4PJW         599 05 VA
QSO: 14114 RY 2019-09-28 1358 K8AJS         599 04 OH  DL9GTB        599 14 DX
QSO: 14114 RY 2019-09-28 1359 K8AJS         599 04 OH  DL5NAM        599 14 DX
QSO: 14114 RY 2019-09-28 1403 K8AJS         599 04 OH  PA7LV         599 14 DX
QSO: 14114 RY 2019-09-28 1405 K8AJS         599 04 OH  YL2CI         599 15 DX
QSO: 14114 RY 2019-09-28 1407 K8AJS         599 04 OH  DR7TKM        599 14 DX
QSO: 14114 RY 2019-09-28 1407 K8AJS         599 04 OH  DP9A          599 14 DX
QSO: 14114 RY 2019-09-28 1408 K8AJS         599 04 OH  S51JQ         599 15 DX
QSO: 14114 RY 2019-09-28 1409 K8AJS         599 04 OH  3Z9M          599 15 DX
QSO: 14114 RY 2019-09-28 1411 K8AJS         599 04 OH  GW4TSG        599 14 DX
QSO: 14114 RY 2019-09-28 1414 K8AJS         599 04 OH  IQ3RK         599 15 DX
QSO: 14114 RY 2019-09-28 1415 K8AJS         599 04 OH  IK3TPP        599 15 DX
QSO: 14114 RY 2019-09-28 1416 K8AJS         599 04 OH  AC0C          599 04 KS
QSO: 14114 RY 2019-09-28 1418 K8AJS         599 04 OH  SP4YPB        599 15 DX
QSO: 14114 RY 2019-09-28 1421 K8AJS         599 04 OH  PA1CC         599 14 DX
QSO: 14114 RY 2019-09-28 1426 K8AJS         599 04 OH  IV3WMS        599 15 DX
QSO: 14114 RY 2019-09-28 1426 K8AJS         599 04 OH  GM0KWW        599 14 DX
QSO: 21086 RY 2019-09-28 1453 K8AJS         599 04 OH  PZ5RA         599 09 DX
QSO: 21083 RY 2019-09-28 1454 K8AJS         599 04 OH  P49X          599 09 DX
QSO: 21089 RY 2019-09-28 1455 K8AJS         599 04 OH  NJ2F          599 05 FL
QSO: 21097 RY 2019-09-28 1459 K8AJS         599 04 OH  CW4MAX        599 13 DX
QSO: 21101 RY 2019-09-28 1508 K8AJS         599 04 OH  ZZ2T          599 11 DX
QSO: 21106 RY 2019-09-28 1511 K8AJS         599 04 OH  CV7S          599 13 DX
QSO: 21081 RY 2019-09-28 1512 K8AJS         599 04 OH  TI8II         599 07 DX
QSO: 21087 RY 2019-09-28 1515 K8AJS         599 04 OH  CO2XK         599 08 DX
QSO: 21088 RY 2019-09-28 1519 K8AJS         599 04 OH  W3GH          599 05 PA
QSO: 21089 RY 2019-09-28 1521 K8AJS         599 04 OH  CX2AQ         599 13 DX
QSO: 21091 RY 2019-09-28 1523 K8AJS         599 04 OH  LO5D          599 13 DX
QSO: 21094 RY 2019-09-28 1524 K8AJS         599 04 OH  L73H          599 13 DX
QSO: 21102 RY 2019-09-28 1528 K8AJS         599 04 OH  HQ9X          599 07 DX
QSO: 21103 RY 2019-09-28 1532 K8AJS         599 04 OH  V31VP         599 07 DX
QSO: 21104 RY 2019-09-28 1534 K8AJS         599 04 OH  LU1BJW        599 13 DX
QSO: 21110 RY 2019-09-28 1535 K8AJS         599 04 OH  PY2KJ         599 11 DX
QSO: 14113 RY 2019-09-28 1537 K8AJS         599 04 OH  S53M          599 15 DX
QSO: 14113 RY 2019-09-28 1538 K8AJS         599 04 OH  EA1AKS        599 14 DX
QSO: 14112 RY 2019-09-28 1539 K8AJS         599 04 OH  OE2E          599 15 DX
QSO: 14111 RY 2019-09-28 1541 K8AJS         599 04 OH  ED1R          599 14 DX
QSO: 14109 RY 2019-09-28 1544 K8AJS         599 04 OH  IZ2DLV        599 15 DX
QSO: 14108 RY 2019-09-28 1545 K8AJS         599 04 OH  AC4CA         599 04 TX
QSO: 14106 RY 2019-09-28 1548 K8AJS         599 04 OH  ON8AJ         599 14 DX
QSO: 14105 RY 2019-09-28 1550 K8AJS         599 04 OH  OM5NL         599 15 DX
QSO: 14105 RY 2019-09-28 1552 K8AJS         599 04 OH  K5WE          599 04 OK
QSO: 14104 RY 2019-09-28 1602 K8AJS         599 04 OH  DJ8VH         599 14 DX
QSO: 14104 RY 2019-09-28 1603 K8AJS         599 04 OH  WE6EZ         599 04 TX
QSO: 14104 RY 2019-09-28 1604 K8AJS         599 04 OH  DQ1P          599 14 DX
QSO: 14104 RY 2019-09-28 1606 K8AJS         599 04 OH  AK0DX         599 04 CO
