START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: REF-SSB
LOCATION: 21
CALLSIGN: F6KQL
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: CLUB
CLAIMED-SCORE: 367488
OPERATORS: F4CQD, F4HCO, F4HCP, F4HGK 
CLUB: F6KQL
NAME: Club radioamateur de la MJC
SOAPBOX: 
RIG: TS-440S, 100 Watts
RIG: Levy 2 x 20 mètres + 3 éléments Yagi
QSO:  3500 PH 2014-02-22 2235 F6KQL         59  21     F4FCV         59  54    
QSO:  3500 PH 2014-02-22 2246 F6KQL         59  21     F1AGR/P       59  78    
QSO:  3500 PH 2014-02-22 2248 F6KQL         59  21     F6IJF         59  13    
QSO:  3500 PH 2014-02-22 2249 F6KQL         59  21     F4FKN         59  87    
QSO:  3500 PH 2014-02-22 2249 F6KQL         59  21     F6KDU         59  64    
QSO:  3500 PH 2014-02-22 2250 F6KQL         59  21     PA0X          59  092   
QSO:  3500 PH 2014-02-22 2251 F6KQL         59  21     F5ISY         59  11    
QSO:  3500 PH 2014-02-22 2253 F6KQL         59  21     F8KGN         59  59    
QSO:  3500 PH 2014-02-22 2309 F6KQL         59  21     F5DBT/P       59  83    
QSO:  3500 PH 2014-02-22 2311 F6KQL         59  21     OK2KG         59  O51   
QSO:  3500 PH 2014-02-22 2312 F6KQL         59  21     F4BXW/P       59  45    
QSO:  3500 PH 2014-02-22 2313 F6KQL         59  21     I1APQ         59  142   
QSO:  3500 PH 2014-02-22 2325 F6KQL         59  21     F4BYA         59  02    
QSO:  3500 PH 2014-02-22 2328 F6KQL         59  21     TM5OTT        59  37    
QSO:  3500 PH 2014-02-22 2333 F6KQL         59  21     F6KBR         59  66    
QSO:  3500 PH 2014-02-22 2337 F6KQL         59  21     F1BAY         59  83    
QSO:  3500 PH 2014-02-22 2351 F6KQL         59  21     TM5CSD        59  37    
QSO:  3500 PH 2014-02-23 0003 F6KQL         59  21     F6KRK         59  78    
QSO:  3500 PH 2014-02-23 0011 F6KQL         59  21     YP3A          59  426   
QSO:  3500 PH 2014-02-23 0019 F6KQL         59  21     F6KPC/P       59  64    
QSO:  3500 PH 2014-02-23 0026 F6KQL         59  21     F4FGB         59  73    
QSO:  3500 PH 2014-02-23 0027 F6KQL         59  21     F4CCG         59  22    
QSO:  7000 PH 2014-02-23 1334 F6KQL         59  21     F8KCF         59  74    
QSO:  7000 PH 2014-02-23 1335 F6KQL         59  21     F5SHN         59  03    
QSO:  7000 PH 2014-02-23 1341 F6KQL         59  21     F5PTI         59  16    
QSO:  7000 PH 2014-02-23 1344 F6KQL         59  21     F3VX          59  49    
QSO:  7000 PH 2014-02-23 1345 F6KQL         59  21     F4EEI         59  52    
QSO:  7000 PH 2014-02-23 1350 F6KQL         59  21     HB9HLM        59  316   
QSO:  7000 PH 2014-02-23 1353 F6KQL         59  21     F5LPY         59  55    
QSO:  7000 PH 2014-02-23 1356 F6KQL         59  21     F6IPR/P       59  05    
QSO:  7000 PH 2014-02-23 1358 F6KQL         59  21     F1OKV         59  19    
QSO:  7000 PH 2014-02-23 1359 F6KQL         59  21     F4DPW         59  95    
QSO:  7000 PH 2014-02-23 1400 F6KQL         59  21     F4BYB         59  02    
QSO:  7000 PH 2014-02-23 1408 F6KQL         59  21     F4GKP         59  87    
QSO:  7000 PH 2014-02-23 1409 F6KQL         59  21     F5GFA         59  47    
QSO:  7000 PH 2014-02-23 1411 F6KQL         59  21     F6ETI         59  19    
QSO: 28000 PH 2014-02-23 1414 F6KQL         59  21     KC4TVZ        59  001   
QSO: 28000 PH 2014-02-23 1420 F6KQL         59  21     HK6CF         59  081   
