START-OF-LOG: 3.0
CALLSIGN: KX7L
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 60792
NAME: Charlie Panek
LOCATION: WWA
OPERATORS: KX7L
CLUB: Western Washington DX Club
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: It was the first really sunny weekend in a long time here in the
SOAPBOX: PNW, so it was  hard getting BIC time in on the contest.  Friday
SOAPBOX: night condx seemed so-so, but Saturday night was much better.
SOAPBOX: Sunday things were hopping on 20m!  Thanks for the QSO's!
QSO: 21091 RY 2018-02-11 2115 KX7L          599 0195   K7RI          599 0955
QSO: 14080 RY 2018-02-11 2121 KX7L          599 0196   W4UEF         599 0890
QSO: 14082 RY 2018-02-11 2125 KX7L          599 0197   N6QQ          599 0507
QSO: 14083 RY 2018-02-11 2126 KX7L          599 0198   KO7SS         599 1394
QSO: 14084 RY 2018-02-11 2127 KX7L          599 0199   AA2MF         599 1261
QSO: 14089 RY 2018-02-11 2131 KX7L          599 0200   K4SO          599 0217
QSO: 14090 RY 2018-02-11 2132 KX7L          599 0201   K3RMB         599 0242
QSO: 14091 RY 2018-02-11 2133 KX7L          599 0202   W0NA          599 0895
QSO: 14093 RY 2018-02-11 2135 KX7L          599 0203   KR4U          599 1837
QSO: 14094 RY 2018-02-11 2138 KX7L          599 0204   NV1Q          599 0214
QSO: 14094 RY 2018-02-11 2139 KX7L          599 0205   AA3B          599 2320
QSO: 14095 RY 2018-02-11 2140 KX7L          599 0206   NN3RP         599 0266
QSO: 14097 RY 2018-02-11 2141 KX7L          599 0207   WN6K          599 0619
QSO: 14098 RY 2018-02-11 2142 KX7L          599 0208   NA5NN         599 1836
QSO: 14102 RY 2018-02-11 2145 KX7L          599 0209   NW6P          599 1238
QSO: 14103 RY 2018-02-11 2146 KX7L          599 0210   K0WA          599 1060
QSO: 14103 RY 2018-02-11 2146 KX7L          599 0211   W4MYA         599 0286
QSO: 14104 RY 2018-02-11 2147 KX7L          599 0212   K6ELE         599 0278
QSO: 14105 RY 2018-02-11 2149 KX7L          599 0213   W1NG          599 0552
QSO: 14105 RY 2018-02-11 2149 KX7L          599 0214   WK7S          599 1738
QSO: 14107 RY 2018-02-11 2153 KX7L          599 0215   C6AUM         599 0889
QSO: 14109 RY 2018-02-11 2156 KX7L          599 0216   N0GZ          599 0330
QSO: 14110 RY 2018-02-11 2158 KX7L          599 0217   KF7U          599 1039
QSO: 14111 RY 2018-02-11 2158 KX7L          599 0218   N0AT          599 0559
QSO: 14111 RY 2018-02-11 2159 KX7L          599 0219   JE1LFX        599 0728
QSO: 14113 RY 2018-02-11 2200 KX7L          599 0220   JL1QOC        599 0169
QSO: 14114 RY 2018-02-11 2201 KX7L          599 0221   KU4V          599 0416
QSO: 14114 RY 2018-02-11 2202 KX7L          599 0222   W9ILY         599 0649
QSO: 14117 RY 2018-02-11 2203 KX7L          599 0223   W4PK          599 1455
QSO: 14118 RY 2018-02-11 2204 KX7L          599 0224   K3WW          599 1376
QSO: 14122 RY 2018-02-11 2206 KX7L          599 0225   N2BJ          599 0942
