START-OF-LOG: 3.0
CALLSIGN: ZS6DX
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE:
CLUB:
LOCATION: DX
CREATED-BY: CQWPX Adif2Cabrillo Converter (LZ2FQ)
NAME: Rudi Venter
OPERATORS: ZS6DX
SOAPBOX: Always great to meet all the great contesters on the air.
QSO: 21103 CW 2015-05-30 1358  ZS6DX         599 140    UR7EN         599 026    0
QSO: 21035 CW 2015-05-30 1404  ZS6DX         599 141    9A5X          599 155    0
QSO: 21040 CW 2015-05-30 1406  ZS6DX         599 142    9A73A         599 866    0
QSO: 21011 CW 2015-05-30 1412  ZS6DX         599 143    YT6W          599 956    0
QSO: 21014 CW 2015-05-30 1441  ZS6DX         599 144    UZ4I          599 777    0
QSO: 21075 CW 2015-05-30 1449  ZS6DX         599 145    LZ8E          599 989    0
QSO: 21083 CW 2015-05-30 1450  ZS6DX         599 146    EU5C          599 570    0
QSO: 21108 CW 2015-05-30 1451  ZS6DX         599 147    E73Y          599 253    0
QSO: 21014 CW 2015-05-30 1453  ZS6DX         599 148    G5D           599 1164   0
QSO: 21022 CW 2015-05-30 1456  ZS6DX         599 149    YU7EE         599 843    0
QSO: 21028 CW 2015-05-30 1457  ZS6DX         599 150    K3JT          599 346    0
QSO: 21034 CW 2015-05-30 1500  ZS6DX         599 151    OL5T          599 647    0
QSO: 21036 CW 2015-05-30 1504  ZS6DX         599 152    LX7I          599 1650   0
QSO: 21045 CW 2015-05-30 1505  ZS6DX         599 153    SZ1A          599 1716   0
QSO: 21050 CW 2015-05-30 1508  ZS6DX         599 154    DL2SWW        599 298    0
QSO: 21053 CW 2015-05-30 1510  ZS6DX         599 155    DL7ON         599 958    0
QSO: 21080 CW 2015-05-30 1513  ZS6DX         599 156    SE5L          599 185    0
QSO: 21084 CW 2015-05-30 1515  ZS6DX         599 157    OK3C          599 540    0
QSO: 21085 CW 2015-05-30 1516  ZS6DX         599 158    S53EO         599 1141   0
QSO: 21096 CW 2015-05-30 1517  ZS6DX         599 159    LY7A          599 517    0
QSO: 21006 CW 2015-05-30 1519  ZS6DX         599 160    UW9RE         599 1232   0
QSO: 21007 CW 2015-05-30 1520  ZS6DX         599 161    OK2D          599 790    0
QSO: 21008 CW 2015-05-30 1521  ZS6DX         599 162    RK3FT         599 108    0
QSO: 21009 CW 2015-05-30 1523  ZS6DX         599 163    WU3A          599 1027   0
QSO: 21010 CW 2015-05-30 1525  ZS6DX         599 164    HG6N          599 1417   0
QSO: 21012 CW 2015-05-30 1526  ZS6DX         599 165    NE3H          599 296    0
QSO: 21012 CW 2015-05-30 1527  ZS6DX         599 166    WO4O          599 842    0
QSO: 21013 CW 2015-05-30 1529  ZS6DX         599 167    N0AV          599 111    0
QSO: 21014 CW 2015-05-30 1529  ZS6DX         599 168    HB2T          599 559    0
QSO: 21015 CW 2015-05-30 1531  ZS6DX         599 169    Z62FB         599 442    0
QSO: 21023 CW 2015-05-30 1534  ZS6DX         599 170    S55T          599 1260   0
QSO: 21024 CW 2015-05-30 1536  ZS6DX         599 171    GW7O          599 443    0
QSO: 21027 CW 2015-05-30 1539  ZS6DX         599 172    LZ3ZZ         599 652    0
QSO: 21028 CW 2015-05-30 1540  ZS6DX         599 173    E73W          599 992    0
QSO: 21028 CW 2015-05-30 1542  ZS6DX         599 174    R8LA          599 534    0
QSO: 21030 CW 2015-05-30 1543  ZS6DX         599 175    AO150I        599 628    0
QSO: 21033 CW 2015-05-30 1545  ZS6DX         599 176    KL7RA         599 1226   0
QSO: 21042 CW 2015-05-30 1547  ZS6DX         599 177    K8IA          599 1223   0
QSO: 21005 CW 2015-05-30 1558  ZS6DX         599 178    OP4K          599 1100   0
QSO: 21021 CW 2015-05-30 1559  ZS6DX         599 179    KM9R          599 1233   0
QSO: 21006 CW 2015-05-30 1603  ZS6DX         599 180    W9RE          599 1308   0
QSO: 21046 CW 2015-05-30 1610  ZS6DX         599 181    IR2C          599 1073   0
QSO:  7010 CW 2015-05-31 0406  ZS6DX         599 182    WR3O          599 1582   0
QSO:  7001 CW 2015-05-31 0408  ZS6DX         599 183    K9NW          599 1099   0
QSO:  7022 CW 2015-05-31 0410  ZS6DX         599 184    KN5A          599 2232   0
QSO:  7024 CW 2015-05-31 0414  ZS6DX         599 185    CE3CT         599 1205   0
QSO:  7019 CW 2015-05-31 0430  ZS6DX         599 186    KM9R          599 1852   0
QSO:  7028 CW 2015-05-31 0433  ZS6DX         599 187    KH7XX         599 2504   0
QSO:  7012 CW 2015-05-31 0437  ZS6DX         599 188    W5VX          599 279    0
QSO:  7010 CW 2015-05-31 0439  ZS6DX         599 189    KG0F          599 2680   0
QSO: 14005 CW 2015-05-31 0445  ZS6DX         599 190    NF6A          599 2201   0
QSO: 14026 CW 2015-05-31 0447  ZS6DX         599 191    VC7J          599 1216   0
QSO: 14036 CW 2015-05-31 0449  ZS6DX         599 192    KX7M          599 1573   0
QSO: 14041 CW 2015-05-31 0451  ZS6DX         599 193    VE5MX         599 1232   0
QSO: 14026 CW 2015-05-31 0457  ZS6DX         599 194    K9JF          599 361    0
QSO: 14049 CW 2015-05-31 0501  ZS6DX         599 195    ZS90SARL      599 934    0
QSO: 14067 CW 2015-05-31 0503  ZS6DX         599 196    NU7JE         599 374    0
QSO: 14006 CW 2015-05-31 0504  ZS6DX         599 197    AK6W          599 1203   0
QSO: 14042 CW 2015-05-31 0508  ZS6DX         599 198    N6AA          599 119    0
QSO: 14014 CW 2015-05-31 0521  ZS6DX         599 199    WH6R          599 1012   0
QSO: 14032 CW 2015-05-31 0524  ZS6DX         599 200    CS2C          599 2283   0
QSO: 14039 CW 2015-05-31 0527  ZS6DX         599 201    P33W          599 4959   0
QSO: 14042 CW 2015-05-31 0530  ZS6DX         599 202    AH7T          599 917    0
QSO: 14062 CW 2015-05-31 0534  ZS6DX         599 203    AD7JP         599 1330   0
QSO: 14067 CW 2015-05-31 0536  ZS6DX         599 204    VC7GL         599 1767   0
QSO: 14031 CW 2015-05-31 0541  ZS6DX         599 205    9J2HN         599 561    0
QSO: 21031 CW 2015-05-31 0549  ZS6DX         599 206    YR1C          599 3171   0
QSO: 21053 CW 2015-05-31 0552  ZS6DX         599 207    RK3ER         599 655    0
